CustomerID,FirstName,LastName,Email,Phone,Address,City,State,Country,Gender,Age,JoinDate,LastPurchaseDate,TotalSpent,LoyaltyPoints,PurchaseFrequency,CustomerSegment,PreferredPaymentMethod,MaritalStatus,Education,Occupation,Hobbies,AccountCreationDate,AccountStatus,LastUpdated,ReferrerID,PromotionalEmails,FeedbackRating
Cust_11,Cassandra,Allen,shane.snyder@yahoo.com,709500-4382,"9053 Joseph Way Suite 383 West Angela, CT 83673",Smithburgh,Colorado,Brazil,Female,62.0,2024-07-14,2024-01-02,7402.54,453,6,Platinum,PayPal,Married,High School,Engineer,Reading,2024-01-01,Pending,26-03-2024,Referred by None,FALSE,1
Cust_12,Stephanie,Jackson,aaron.smith@None,3146344908,"56575 Farley Grove Suite 963 South Susanchester, WV 34632",Port Michael,Tennessee,Armenia,Female,37.0,2024-01-01,2024-06-27,8250.04,250,6,Bronze,Credit Card,Others,Master,NA,Others,2024-06-09,Active,08-09-2024,Cust_8518,TRUE,4.7
Cust_13,Mary,Green,christian.johnson@None,2595118882,Unit 2892 Box 3870 DPO AP 11212,Stephensonport,Kansas,French Guiana,Others,44.0,2024-01-01,2024-01-02,6437.89,250,8,Gold,PayPal,Others,High School,Engineer,Traveling,2024-09-04,Active,26-05-2024,Referred by None,FALSE,3.6
Cust_14,Shawn,Carter,lindsey.landry@gmail.com,001-506-314-4349,"PSC 7341, Box 5118 APO AA 40441",South Kathryn,Nevada,Saint Martin,Others,37.0,2024-01-01,2024-01-02,4516.81,3,6,Gold,Debit Card,Married,Others,Teacher,Sports,2024-05-12,Active,28-05-2024,Cust_7101,FALSE,2.9
Cust_15,Vanessa,Mitchell,mark.le@gmail.com,744-834-5908,"6898 Collier Motorway Suite 432 North Troy, ID 01937",Mirandaland,West Virginia,Qatar,Male,44.0,2024-06-15,2024-02-02,6579.71,267,12,Gold,Cash,Divorced,Others,NA,Music,2024-04-03,Active,08-02-2024,Referred by None,FALSE,3.2
Cust_16,Paul,Diaz,heather.bush@outlook.com,744-998-0626,"9894 Olson Crossroad North Stephanie, UT 96579",Deniseland,Kansas,Tuvalu,Male,44.0,2024-01-01,2024-02-05,5585.33,250,6,Bronze,PayPal,Divorced,Others,Teacher,Traveling,2024-01-25,Inactive,20-08-2024,Cust_8128,TRUE,4.2
Cust_17,Amanda,Patterson,jeremy.ferguson@outlook.com,001-286-323-0136,"5762 Oneal Lights New Edward, TX 21977",Port Michellefort,Hawaii,Korea,Female,45.0,2024-01-01,2024-05-13,4373.66,468,6,Gold,PayPal,Others,Master,Engineer,Reading,2024-09-10,Inactive,07-02-2024,Cust_7045,FALSE,2.9
Cust_18,Virginia,Anderson,howard.bryan@None,522-650-1733,"965 Davis Mews Apt. 453 South Evan, MO 86134",East Kimberly,Tennessee,Madagascar,Male,44.0,2024-01-01,2024-10-06,6093.27,276,6,Gold,PayPal,Married,Bachelor,Other,Sports,2024-01-01,Inactive,26-06-2024,Cust_3205,TRUE,1.1
Cust_19,Scott,Henderson,michael.baker@outlook.com,550-969-4523,"0765 David Courts Apt. 580 Allenmouth, MN 20309",South Jason,Illinois,Central African Republic,Others,44.0,2024-01-01,2024-10-08,7645.87,89,6,Gold,PayPal,Others,High School,NA,Traveling,2024-04-04,Inactive,30-01-2024,Cust_828,TRUE,2.9
Cust_20,Debra,Beck,joshua.robinson@outlook.com,812-973-6755,"78188 Klein Isle Suite 655 North Micheleborough, VA 32498",Clarkbury,Mississippi,British Virgin Islands,Female,46.0,2024-01-01,2024-03-23,8821.95,250,6,Platinum,PayPal,Others,Bachelor,Teacher,Music,2024-01-01,Inactive,04-09-2024,Cust_2227,FALSE,2.9
Cust_21,Felicia,Crawford,eric.martinez@gmail.com,232-307-5832,"605 Kyle Mountains West Margaret, NC 09146",Cunninghambury,Iowa,Guinea,Male,51.0,2024-05-16,2024-10-12,2462.03,140,6,Platinum,Debit Card,Divorced,Bachelor,Teacher,Traveling,2024-01-01,Active,11-03-2024,Referred by None,TRUE,1.3
Cust_22,Michael,Robbins,richard.bryan@yahoo.com,481431-7063,Unit 9650 Box 1489 DPO AE 31155,Jasonbury,Michigan,Congo,Others,63.0,2024-03-25,2024-01-02,5170.09,250,5,Bronze,Debit Card,Married,Bachelor,Other,Sports,2024-01-01,Inactive,17-05-2024,Referred by None,FALSE,4.9
Cust_23,Kimberly,Romero,robert.white@yahoo.com,733-896-1707,"64763 Jessica Haven North Alexandriashire, MH 71708",Brandyburgh,Massachusetts,Jamaica,Male,22.0,2024-01-01,2024-04-07,8406.04,317,9,Bronze,Debit Card,Married,Others,Engineer,Reading,2024-01-01,Pending,15-06-2024,Referred by None,FALSE,4.8
Cust_24,Bryan,Davies,kevin.patel@None,848-469-3715,"6695 Gerald Loaf Holdershire, UT 91504",Jamesstad,Connecticut,Angola,Female,26.0,2024-05-21,2024-01-02,3249.78,250,6,Bronze,Debit Card,Married,High School,Other,Reading,2024-01-01,Pending,08-10-2024,Referred by None,FALSE,2.9
Cust_25,Paul,Sanchez,jon.johnson@yahoo.com,001-396-447-0572,"1574 Morgan Row Suite 824 East Cindyton, SC 80862",West Jesus,Washington,Aruba,Others,25.0,2024-01-01,2024-03-01,8025.4,298,10,Silver,Cash,Single,Bachelor,Teacher,Others,2024-02-07,Inactive,18-09-2024,Referred by None,TRUE,2.9
Cust_26,Pam,Wright,hector.walters@gmail.com,858790-7850,"558 Cross Union Lake Ralph, WI 63800",South Jeffery,Maryland,Burkina Faso,Male,44.0,2024-01-01,2024-05-21,9344.05,427,9,Platinum,PayPal,Single,Bachelor,Teacher,Reading,2024-06-13,Pending,09-06-2024,Cust_8221,TRUE,1.3
Cust_27,Lance,Cooper,robyn.wright@yahoo.com,861-370-1312,Unit 0152 Box 7241 DPO AE 43031,South Lynnmouth,Oregon,Yemen,Others,45.0,2024-05-03,2024-06-28,9551.22,292,2,Bronze,Credit Card,Single,High School,Engineer,Sports,2024-01-01,Pending,10-04-2024,Cust_3879,TRUE,4.2
Cust_28,Stacey,Hernandez,stephanie.smith@yahoo.com,225716-2328,"072 Carlson Place North Nicole, ID 98098",Christopherfort,Alabama,Ghana,Others,35.0,2024-10-14,2024-01-02,1765.23,250,6,Silver,Debit Card,Divorced,Bachelor,Doctor,Traveling,2024-01-01,Pending,16-02-2024,Referred by None,TRUE,2.9
Cust_29,Nathan,Hill,mike.martinez@outlook.com,252-606-5381,"0116 Jerry Skyway Suite 821 East Matthew, AK 65246",Colemanbury,West Virginia,Tanzania,Female,49.0,2024-02-14,2024-01-02,2100.99,250,6,Platinum,Cash,Married,High School,Doctor,Others,2024-01-01,Inactive,02-09-2024,Cust_7087,FALSE,1.5
Cust_30,Haley,Riley,jonathan.miller@gmail.com,9559763646,USS Kaiser FPO AA 77617,Andreaburgh,Tennessee,Jersey,Female,44.0,2024-01-13,2024-06-15,7212.49,250,10,Gold,Debit Card,Single,Others,Doctor,Others,2024-01-01,Inactive,20-03-2024,Referred by None,FALSE,2.3
Cust_31,James,Phillips,martha.maxwell@yahoo.com,574-998-7822,"91588 Robert Ports Suite 681 South Jadeshire, OH 91986",Port Whitneyview,North Carolina,Puerto Rico,Male,44.0,2024-01-01,2024-01-02,2573.11,243,6,Others,Credit Card,Married,Bachelor,Other,Traveling,2024-01-01,Pending,10-04-2024,Referred by None,FALSE,2.9
Cust_32,Chelsey,Mcpherson,teresa.arnold@outlook.com,869-873-4811,"8068 Singh Ranch Apt. 181 East Claireton, TN 68532",East Kimberly,Alaska,Benin,Male,57.0,2024-10-13,2024-01-02,5372.44,250,12,Silver,Cash,Others,Bachelor,Teacher,Traveling,2024-01-01,Pending,15-01-2024,Referred by None,FALSE,1.8
Cust_33,David,Calderon,anne.johnson@gmail.com,550248-2816,"580 Kevin Path Apt. 382 West Natalieshire, ID 24504",South Stephen,Nebraska,Bermuda,Others,44.0,2024-01-01,2024-08-10,129.09,412,6,Gold,Credit Card,Others,High School,Doctor,Reading,2024-08-07,Active,07-02-2024,Referred by None,TRUE,2.9
Cust_34,Charles,Jackson,michelle.smith@outlook.com,245-422-2150,Unit 5308 Box 1861 DPO AE 60127,East John,Utah,Turkmenistan,Male,59.0,2024-05-17,2024-01-02,466.54,250,6,Bronze,Debit Card,Married,Master,Doctor,Traveling,2024-01-01,Pending,24-05-2024,Cust_6436,FALSE,2.9
Cust_35,Michelle,Ramirez,heather.medina@gmail.com,480-426-3113,"98301 Mcdaniel Mills Suite 797 Blackwellview, MS 22081",North Jessica,Connecticut,Kyrgyz Republic,Others,44.0,2024-02-12,2024-01-02,2249.0,250,4,Others,Debit Card,Married,Bachelor,NA,Reading,2024-02-04,Pending,18-05-2024,Referred by None,TRUE,2.9
Cust_36,Sean,Gordon,hannah.fischer@yahoo.com,806923-9818,"69618 Elliott Mission New Christopher, WV 42968",Port Catherinebury,Montana,American Samoa,Female,30.0,2024-01-16,2024-04-19,3921.43,250,6,Bronze,Cash,Others,High School,NA,Others,2024-10-11,Pending,24-03-2024,Cust_4761,TRUE,4.1
Cust_37,Robert,Barnes,linda.henry@yahoo.com,325-989-5687,"301 Joshua Via Lake Marcus, RI 68188",Christopherstad,Montana,Bahrain,Others,44.0,2024-01-01,2024-01-02,3411.25,250,6,Others,Credit Card,Divorced,Others,Other,Traveling,2024-03-14,Active,13-03-2024,Cust_8976,TRUE,1.5
Cust_38,Juan,Nguyen,jennifer.thomas@gmail.com,622222-0167,"580 Olivia Ferry Apt. 756 New Brett, WI 13655",Marissaland,Georgia,Myanmar,Male,44.0,2024-01-01,2024-01-02,511.86,135,3,Silver,Credit Card,Divorced,Master,Doctor,Sports,2024-08-26,Pending,26-07-2024,Referred by None,FALSE,4.7
Cust_39,Maria,Bowman,hannah.anderson@None,532-447-4348,"3066 Wang Point Suite 746 Blairborough, SD 56557",East Chadside,West Virginia,Bulgaria,Male,50.0,2024-01-01,2024-04-24,4019.69,250,2,Platinum,Cash,Divorced,Others,Doctor,Others,2024-01-01,Pending,07-07-2024,Referred by None,TRUE,2.9
Cust_40,Lynn,Mitchell,bradley.burns@outlook.com,823-914-1864,USS Morton FPO AE 33502,Port Lori,Maine,Egypt,Female,44.0,2024-06-02,2024-03-02,9142.93,266,9,Others,Cash,Single,Others,Doctor,Others,2024-08-13,Active,23-08-2024,Cust_3449,FALSE,2.2
Cust_41,Albert,Williams,david.castillo@yahoo.com,441-799-6854,"65201 Bean Hill Nicoleberg, NY 70516",Griffithhaven,Louisiana,Tonga,Others,27.0,2024-09-08,2024-01-02,8933.77,38,9,Gold,PayPal,Single,Bachelor,NA,Reading,2024-01-01,Inactive,24-03-2024,Cust_22,TRUE,3.3
Cust_42,Kristina,Howard,kenneth.moore@None,950297-8785,"690 Ross Land Port Jamesport, MI 15942",West Thomasberg,Maryland,India,Male,46.0,2024-01-01,2024-09-24,7221.99,423,11,Bronze,PayPal,Others,Bachelor,NA,Music,2024-05-13,Inactive,09-05-2024,Cust_5722,TRUE,1.9
Cust_43,Barbara,Hamilton,daniel.mercer@outlook.com,450-412-3519,"398 Cook Stravenue Suite 913 Port Keith, MA 53737",North David,Georgia,Slovenia,Others,58.0,2024-01-01,2024-01-02,2480.43,82,6,Silver,Cash,Others,Bachelor,Teacher,Others,2024-05-26,Active,14-08-2024,Cust_9368,FALSE,2.9
Cust_44,James,Berry,stephanie.duke@None,556-651-2521,"61002 Charles Port Port Jennifershire, TX 27488",Port Edwardbury,North Dakota,Belgium,Female,44.0,2024-01-01,2024-01-02,6939.69,250,3,Gold,PayPal,Divorced,Master,Other,Sports,2024-07-13,Pending,03-09-2024,Referred by None,FALSE,2.9
Cust_45,Corey,Lee,kenneth.drake@None,893-441-3701,"4644 Hayes Camp Suite 194 East Albert, HI 29977",Sandraport,North Dakota,Cape Verde,Male,57.0,2024-04-27,2024-01-02,7010.36,250,6,Platinum,Cash,Married,Others,Other,Sports,2024-01-03,Inactive,08-04-2024,Cust_4202,TRUE,2.9
Cust_46,Cheyenne,Larsen,ashley.frye@yahoo.com,805-299-1535,"536 Charles Branch New Danielle, KS 38197",Eugenefurt,Oklahoma,Aruba,Male,44.0,2024-01-01,2024-08-13,5533.05,271,6,Gold,Credit Card,Single,Others,NA,Reading,2024-01-01,Pending,25-03-2024,Referred by None,FALSE,2.9
Cust_47,Loretta,Roberson,kathryn.walker@outlook.com,333-925-6189,"12213 Rachel Courts West Timothy, IL 91515",Jacobsburgh,Montana,Libyan Arab Jamahiriya,Male,33.0,2024-05-10,2024-01-02,5098.34,287,11,Silver,PayPal,Divorced,High School,Other,Music,2024-04-03,Inactive,20-02-2024,Referred by None,TRUE,4.3
Cust_48,Samantha,Hawkins,clayton.logan@yahoo.com,9307994308,"PSC 0049, Box 7720 APO AE 05742",Lake Ambermouth,Oklahoma,Turkey,Male,44.0,2024-01-01,2024-06-13,5277.28,250,6,Silver,PayPal,Married,High School,NA,Music,2024-01-01,Pending,14-03-2024,Cust_7512,TRUE,1.1
Cust_49,Laura,Barnes,debbie.smith@None,605-201-9364,"5340 Tiffany Point Morganshire, ME 02229",Port Susan,Minnesota,Australia,Others,65.0,2024-01-01,2024-03-16,7647.46,281,9,Silver,PayPal,Single,Master,NA,Music,2024-03-30,Inactive,06-09-2024,Cust_8370,TRUE,2.9
Cust_50,Erica,Sanders,levi.brown@gmail.com,001-534-452-7515,"25129 Brian Divide North Daniel, FM 13092",East Alicia,North Dakota,Lao People's Democratic Republic,Female,57.0,2024-07-23,2024-01-02,4235.92,250,6,Bronze,PayPal,Single,Master,Doctor,Others,2024-04-17,Pending,01-03-2024,Referred by None,TRUE,2.9
Cust_51,Michael,Rojas,melissa.reynolds@yahoo.com,440310-6255,"51069 Richards Centers Suite 909 East Johnny, ND 31808",Herreratown,South Dakota,Gabon,Male,44.0,2024-01-01,2024-01-02,704.29,206,6,Gold,Credit Card,Single,High School,Other,Sports,2024-01-01,Inactive,11-04-2024,Cust_4409,TRUE,2.9
Cust_52,Russell,Bailey,jeremy.hall@None,459510-0443,"5313 Stacy Highway Apt. 001 North Jessica, MP 17927",North Chad,Minnesota,India,Male,40.0,2024-09-25,2024-01-02,1272.55,250,6,Platinum,Credit Card,Married,Bachelor,Teacher,Sports,2024-10-11,Inactive,15-07-2024,Referred by None,TRUE,2.9
Cust_53,Fred,Mann,karen.daniels@None,933-499-4081,"166 Jessica Trail Davisburgh, AZ 46092",South Courtney,Connecticut,Pakistan,Others,35.0,2024-01-02,2024-06-18,8949.64,250,6,Gold,PayPal,Divorced,Bachelor,Teacher,Sports,2024-08-20,Inactive,17-09-2024,Cust_6910,TRUE,4.5
Cust_54,William,Richards,rachel.johnson@yahoo.com,9246559241,USNS Adams FPO AA 62477,Gallagherfort,Hawaii,Guernsey,Female,44.0,2024-01-01,2024-04-04,868.14,250,6,Bronze,PayPal,Single,High School,NA,Others,2024-03-06,Pending,20-09-2024,Cust_880,FALSE,2.9
Cust_55,Elizabeth,Buchanan,matthew.greene@outlook.com,288672-3614,"1965 Stanton Centers Apt. 901 North Hunter, OH 78651",North Michaelberg,West Virginia,Equatorial Guinea,Female,53.0,2024-03-30,2024-09-28,224.92,271,8,Gold,Debit Card,Others,Others,Teacher,Others,2024-01-01,Pending,16-06-2024,Cust_4373,FALSE,2.9
Cust_56,Catherine,Lam,tina.stevenson@gmail.com,515522-9372,"73596 Nathan Station Loriland, WV 05597",Crawfordburgh,Nevada,Malawi,Others,44.0,2024-07-25,2024-01-02,3330.52,233,8,Others,PayPal,Divorced,Bachelor,Other,Sports,2024-09-25,Active,20-06-2024,Cust_7384,FALSE,2.9
Cust_57,Molly,Sanders,jamie.perry@gmail.com,568211-8545,"19809 Banks Pines Suite 081 Robertside, WV 38149",South Taramouth,Pennsylvania,Sao Tome and Principe,Female,44.0,2024-09-16,2024-03-05,3970.89,287,6,Gold,Debit Card,Others,High School,Doctor,Reading,2024-03-29,Inactive,18-03-2024,Cust_2803,TRUE,2.9
Cust_58,Rita,Ortiz,christopher.phillips@outlook.com,491-653-3620,"2039 Ortiz Neck Lake Charlenebury, FM 17377",South Jenniferberg,California,Equatorial Guinea,Male,58.0,2024-01-01,2024-03-11,7221.92,296,10,Others,Cash,Married,Master,NA,Music,2024-01-28,Active,26-01-2024,Referred by None,TRUE,2.2
Cust_59,Alexander,Walters,jose.maxwell@gmail.com,965-895-0479,"815 Allison Turnpike Whitneyburgh, CT 29114",Lake Anthonyland,Delaware,Congo,Female,44.0,2024-01-01,2024-05-14,1069.53,250,6,Platinum,Credit Card,Others,Bachelor,Teacher,Reading,2024-06-01,Pending,24-04-2024,Cust_6444,TRUE,1.2
Cust_60,Andrew,Wilson,tracy.wilson@None,001-676-727-3244,"08974 Jeffrey Street Suite 537 East Casey, AZ 91733",North Briannaville,Iowa,Venezuela,Male,56.0,2024-01-01,2024-01-02,4373.44,265,3,Silver,Cash,Married,High School,Other,Music,2024-03-18,Inactive,13-05-2024,Cust_7212,TRUE,2.9
Cust_61,Mary,Walker,megan.scott@gmail.com,845-857-3672,"8233 Michael Forges Apt. 001 East Patricia, CO 78127",East Joannamouth,Connecticut,Aruba,Others,44.0,2024-01-13,2024-08-28,8020.53,250,4,Bronze,Credit Card,Single,Bachelor,NA,Traveling,2024-01-01,Inactive,19-01-2024,Cust_1897,FALSE,2.9
Cust_62,Brooke,Carter,renee.lee@None,001-242-967-7342,"44659 Alan Street Salasborough, VI 54198",Turnerville,Georgia,Gibraltar,Female,44.0,2024-10-02,2024-01-02,9117.84,250,6,Others,Credit Card,Divorced,High School,Doctor,Music,2024-01-23,Pending,31-01-2024,Cust_1585,FALSE,2.9
Cust_63,Jennifer,Johnson,brandon.powell@gmail.com,910-568-8324,"PSC 5762, Box 6297 APO AA 46893",North Sara,Illinois,Saint Lucia,Female,44.0,2024-01-01,2024-07-18,7237.83,250,6,Silver,PayPal,Single,Others,NA,Traveling,2024-01-01,Pending,16-02-2024,Referred by None,FALSE,2.9
Cust_64,Joshua,Stone,bryan.perez@gmail.com,998-520-4604,"49703 Dominguez Locks Suite 849 Chapmanville, PR 26170",Stevensmouth,New Jersey,Venezuela,Male,22.0,2024-03-04,2024-01-14,2530.96,250,3,Gold,Debit Card,Single,High School,Doctor,Sports,2024-05-12,Pending,11-06-2024,Cust_8932,TRUE,2.9
Cust_65,Edwin,Lopez,julie.reyes@yahoo.com,440-838-5806,"129 Robert Trail Suite 664 Payneville, AR 70691",South Cynthiachester,Virginia,Tokelau,Female,68.0,2024-01-01,2024-01-02,8584.79,240,9,Silver,Debit Card,Married,Bachelor,Doctor,Music,2024-01-01,Inactive,20-08-2024,Cust_5416,TRUE,2.9
Cust_66,Christopher,Myers,chad.medina@yahoo.com,597-571-0484,"3842 Sullivan Unions Apt. 950 Glasstown, PW 95119",Dwayneville,Maryland,Thailand,Male,44.0,2024-09-24,2024-01-02,6077.38,310,10,Silver,Credit Card,Single,Others,NA,Traveling,2024-01-01,Pending,14-05-2024,Cust_7067,TRUE,3.6
Cust_67,Trevor,Davis,eduardo.graham@gmail.com,001-309-871-8164,"199 Dalton Pike Fullermouth, OR 55099",Eileenmouth,Florida,Zambia,Female,44.0,2024-09-23,2024-01-02,6415.45,295,11,Silver,Credit Card,Married,High School,Doctor,Music,2024-01-01,Inactive,12-05-2024,Referred by None,FALSE,2.5
Cust_68,Brett,Brown,joshua.brown@None,235-913-1388,"9936 Stokes Ridge Walkerview, AR 86319",Port Tina,Missouri,Kenya,Male,44.0,2024-01-01,2024-01-06,9763.27,250,6,Platinum,Cash,Others,Bachelor,Doctor,Traveling,2024-01-01,Pending,27-06-2024,Cust_3764,FALSE,2.9
Cust_69,Michelle,Gonzalez,elizabeth.davis@outlook.com,397732-5182,"78016 Denise Dale Apt. 639 West Rebeccafurt, CO 36050",New Ariana,Florida,Sao Tome and Principe,Female,44.0,2024-01-01,2024-08-14,5931.68,250,6,Platinum,Credit Card,Divorced,Master,Teacher,Music,2024-07-06,Active,10-02-2024,Referred by None,TRUE,2.9
Cust_70,Roger,Davis,michelle.browning@outlook.com,001-231-428-2180,"768 Erika Way North Jill, CA 75581",Carolynside,Idaho,Vanuatu,Others,44.0,2024-01-01,2024-07-27,3233.87,250,6,Gold,Credit Card,Others,Bachelor,Other,Traveling,2024-01-01,Pending,04-05-2024,Cust_6119,TRUE,2.9
Cust_71,Christopher,Moore,richard.wilson@yahoo.com,452-722-5011,"166 Ashley Garden North Jessicaland, AR 15862",Freemanside,Kansas,Mauritania,Male,49.0,2024-04-11,2024-01-02,7004.63,250,6,Others,PayPal,Married,Master,Engineer,Reading,2024-09-24,Pending,06-02-2024,Referred by None,FALSE,2.1
Cust_72,William,Clark,elizabeth.smith@None,450-481-3561,"2851 Mary Gateway Dianebury, AR 63464",West Kimberly,Delaware,Gibraltar,Female,44.0,2024-08-06,2024-08-19,7431.18,250,10,Others,Debit Card,Single,Bachelor,Teacher,Reading,2024-01-01,Pending,19-05-2024,Referred by None,TRUE,2.9
Cust_73,Russell,Baker,shane.torres@yahoo.com,972-515-1867,"43538 Bennett Mission Apt. 045 East Juan, AL 05322",Angelashire,Massachusetts,Yemen,Male,25.0,2024-01-01,2024-05-13,611.69,190,6,Silver,Cash,Married,High School,Doctor,Sports,2024-04-25,Pending,13-10-2024,Referred by None,FALSE,2.9
Cust_74,Jeffrey,Harris,amy.bishop@outlook.com,452-425-1043,"87488 Danielle Landing North Richard, ME 17707",North Sherri,Kentucky,Rwanda,Others,59.0,2024-01-01,2024-09-23,5582.41,215,3,Bronze,Cash,Others,High School,NA,Traveling,2024-01-01,Pending,08-10-2024,Cust_2782,TRUE,2
Cust_75,Lauren,Bishop,lisa.young@outlook.com,585-293-4134,"455 Sheena Forest Suite 473 Barnettton, WI 78884",Bretthaven,New Jersey,Slovakia (Slovak Republic),Male,48.0,2024-01-05,2024-01-02,2576.24,376,6,Others,PayPal,Single,Master,NA,Others,2024-03-04,Active,29-02-2024,Cust_7240,FALSE,2.9
Cust_76,Jesse,Travis,cynthia.ramirez@None,686695-0325,"0941 Brown Ville Kelleyview, PW 32867",Alanport,New York,Haiti,Female,44.0,2024-01-01,2024-06-29,8699.45,250,6,Silver,PayPal,Others,High School,Teacher,Reading,2024-09-20,Pending,02-08-2024,Referred by None,FALSE,1.2
Cust_77,Carolyn,Smith,cynthia.davis@outlook.com,866-697-3810,"822 Stacey Greens Timothyview, ND 53236",Evelynmouth,South Carolina,Andorra,Female,44.0,2024-08-14,2024-09-25,4183.38,250,6,Silver,Debit Card,Married,Bachelor,Engineer,Reading,2024-01-01,Active,20-07-2024,Referred by None,FALSE,3.2
Cust_78,Jacob,Ray,jeffrey.campbell@gmail.com,592-337-8861,"499 Williams Stream Suite 766 Jonathanfurt, NH 01681",Tuckerchester,Tennessee,Trinidad and Tobago,Female,44.0,2024-01-01,2024-04-10,5139.03,250,6,Bronze,PayPal,Single,Master,NA,Traveling,2024-01-01,Active,10-06-2024,Referred by None,FALSE,2.9
Cust_79,Anthony,Alvarado,zachary.harris@gmail.com,911-346-5414,"4682 Goodwin Lane North Bonnieburgh, MP 77167",South Luis,California,Iraq,Others,63.0,2024-01-01,2024-01-02,9879.64,310,6,Platinum,PayPal,Others,Bachelor,Engineer,Sports,2024-08-28,Active,16-07-2024,Cust_4629,TRUE,2.9
Cust_80,Frances,Khan,ian.flowers@gmail.com,953-739-6035,"9380 Bradley Ferry Suite 066 Lopezborough, FL 01493",East Davidfurt,Delaware,Martinique,Male,58.0,2024-01-01,2024-03-15,5121.17,214,11,Platinum,Debit Card,Others,Bachelor,NA,Traveling,2024-08-06,Pending,13-09-2024,Cust_2642,FALSE,3.9
Cust_81,Kenneth,Herrera,jennifer.ferguson@yahoo.com,415-936-8513,"PSC 6564, Box 2121 APO AE 66303",New Kellymouth,Florida,Cameroon,Male,65.0,2024-09-27,2024-06-13,5633.67,250,6,Others,Debit Card,Married,Others,NA,Sports,2024-10-03,Active,24-08-2024,Cust_7296,TRUE,2.9
